Reaction,ReactionRate
[C3bBbC3bPC5bC6 host] -> [Surface host]                                                         ,[C3bBbC3bPC5bC6 host] * (k_el_SurfaceProtein + k_hemolysis)
[C3bBbC3bC5bC6 host] -> [Surface host]                                                          ,[C3bBbC3bC5bC6 host]  * (k_el_SurfaceProtein + k_hemolysis)
[C5b7 host] -> [Surface host]                                                                   ,[C5b7 host]           * (k_el_SurfaceProtein + k_hemolysis)
[C3bCR1 host] -> [Surface host]                                                                 ,[C3bCR1 host]         * (k_el_SurfaceProtein + k_hemolysis)
[C3bH host] -> [Surface host]                                                                   ,[C3bH host]           * (k_el_SurfaceProtein + k_hemolysis)
[C3bB host] -> [Surface host]                                                                   ,[C3bB host]           * (k_el_SurfaceProtein + k_hemolysis)
[C3bBbH host] -> [Surface host]                                                                 ,[C3bBbH host]         * (k_el_SurfaceProtein + k_hemolysis)
[C3bBbCR1 host] -> [Surface host]                                                               ,[C3bBbCR1 host]       * (k_el_SurfaceProtein + k_hemolysis)
[C3bBbDAF host] -> [Surface host]                                                               ,[C3bBbDAF host]       * (k_el_SurfaceProtein + k_hemolysis)
[iC3bCR1 host] -> [Surface host]                                                                ,[iC3bCR1 host]        * (k_el_SurfaceProtein + k_hemolysis)
[C3dg host] -> [Surface host]                                                                   ,[C3dg host]           * (k_el_SurfaceProtein + k_hemolysis)
[C5b8 host] -> [Surface host]                                                                   ,[C5b8 host]           * (k_el_SurfaceProtein + k_hemolysis)
[C5b9_1 host] -> [Surface host]                                                                 ,[C5b9_1 host]         * (k_el_SurfaceProtein + k_hemolysis)
[C5b9_2 host] -> [Surface host]                                                                 ,[C5b9_2 host]         * (k_el_SurfaceProtein + k_hemolysis)
[C5b9_3 host] -> [Surface host]                                                                 ,[C5b9_3 host]         * (k_el_SurfaceProtein + k_hemolysis)
[C5b9_4 host] -> [Surface host]                                                                 ,[C5b9_4 host]         * (k_el_SurfaceProtein + k_hemolysis)
[C5b9_5 host] -> [Surface host]                                                                 ,[C5b9_5 host]         * (k_el_SurfaceProtein + k_hemolysis)
[C5b9_6 host] -> [Surface host]                                                                 ,[C5b9_6 host]         * (k_el_SurfaceProtein + k_hemolysis)
[C5b9_7 host] -> [Surface host]                                                                 ,[C5b9_7 host]         * (k_el_SurfaceProtein + k_hemolysis)
[C5b9_8 host] -> [Surface host]                                                                 ,[C5b9_8 host]         * (k_el_SurfaceProtein + k_hemolysis)
[C5b9_9 host] -> [Surface host]                                                                 ,[C5b9_9 host]         * (k_el_SurfaceProtein + k_hemolysis)
[C5b9_10 host] -> [Surface host]                                                                ,[C5b9_10 host]        * (k_el_SurfaceProtein + k_hemolysis)
[C5b9_11 host] -> [Surface host]                                                                ,[C5b9_11 host]        * (k_el_SurfaceProtein + k_hemolysis)
[C5b9_12 host] -> [Surface host]                                                                ,[C5b9_12 host]        * (k_el_SurfaceProtein + k_hemolysis)
[C5b9_13 host] -> [Surface host]                                                                ,[C5b9_13 host]        * (k_el_SurfaceProtein + k_hemolysis)
[C5b9_14 host] -> [Surface host]                                                                ,[C5b9_14 host]        * (k_el_SurfaceProtein + k_hemolysis)
[C5b9_15 host] -> [Surface host]                                                                ,[C5b9_15 host]        * (k_el_SurfaceProtein + k_hemolysis)
[C5b9_16 host] -> [Surface host]                                                                ,[C5b9_16 host]        * (k_el_SurfaceProtein + k_hemolysis)
[C5b9_17 host] -> [Surface host]                                                                ,[C5b9_17 host]        * (k_el_SurfaceProtein + k_hemolysis)
[MAC host] -> [Surface host]                                                                    ,[MAC host]            * (k_el_SurfaceProtein + k_hemolysis)
[CD59C5b9_1 host] -> [Surface host]                                                             ,[CD59C5b9_1 host]     * (k_el_SurfaceProtein + k_hemolysis)
C5drug -> null                                                                                  ,C5drug      * k_el_Drug
[C5drug C5] -> null                                                                             ,[C5drug C5] * k_el_Drug
C5 + C5drug <-> [C5drug C5]                                                                     ,C5 * C5drug * kon_C5drug    - [C5drug C5] * koff_C5drug
C5 + Ecu <-> [Ecu C5]                                                                           ,C5 * Ecu * kon_Ecu    - [Ecu C5] * koff_Ecu
